rank,model,local_exp4_balanced_accuracy,bnci2014_001_balanced_accuracy,bnci2014_004_balanced_accuracy,cho2017_balanced_accuracy,physionet_mi_balanced_accuracy,equal_dataset_macro_balanced_accuracy,status
23,cardinal_fbms,0.8920833333333333,0.7441358024691359,0.7732738095238095,0.6894134615384618,0.5498761336623655,0.7297565081054211,descriptive_opened_development_suite_only
24,cardinal_dynamics_sinc_residual,0.8712500000000001,0.7064043209876543,0.7892063492063492,0.6953878205128206,0.5783640406828813,0.7281225062779411,descriptive_opened_development_suite_only
25,cardinal_dynamics_sinc,0.8720833333333333,0.7042438271604938,0.7879861111111112,0.6887371794871794,0.5677693515555835,0.7241639605295402,descriptive_opened_development_suite_only
26,free_cardinal,0.8854166666666667,0.7003086419753086,0.760436507936508,0.6778301282051283,0.58217239684631,0.7212328683259843,descriptive_opened_development_suite_only
27,cardinal_mix_drop,0.8316666666666668,0.7209104938271603,0.7769940476190477,0.6809519230769231,0.570003476796955,0.7161053215973505,descriptive_opened_development_suite_only
28,cardinal_mix,0.82125,0.719753086419753,0.7767658730158731,0.6719423076923078,0.5677364570480513,0.711489544835197,descriptive_opened_development_suite_only
29,shallow,0.8766666666666667,0.654398148148148,0.7738888888888887,0.681701923076923,0.5660749576510447,0.7105461168863342,descriptive_opened_development_suite_only
30,cardinal,0.8391666666666666,0.7010030864197531,0.7461904761904762,0.6784839743589745,0.5826036416616126,0.7094895690594966,descriptive_opened_development_suite_only
31,eegconformer,0.8895833333333334,0.6180555555555556,0.7820039682539683,0.6592339743589742,0.5708521115224013,0.7039457886048466,descriptive_opened_development_suite_only
32,eegconformer_compact,0.87375,0.626003086419753,0.777063492063492,0.6547371794871796,0.5729970948268049,0.7009101705594459,descriptive_opened_development_suite_only
33,ctnet,0.8691666666666666,0.6600308641975308,0.7865277777777778,0.6510641025641027,0.5293035165317774,0.6992185855475711,descriptive_opened_development_suite_only
34,atcnet,0.8391666666666667,0.6277006172839505,0.7814980158730159,0.6524230769230768,0.5577247195906617,0.6917026192674742,descriptive_opened_development_suite_only
35,atcnet_aggressive_pool,0.8670833333333333,0.619212962962963,0.7796329365079365,0.6347371794871796,0.5459183362263071,0.6893169497035438,descriptive_opened_development_suite_only
36,ctnet_compact,0.8291666666666666,0.5869598765432098,0.7777380952380953,0.6171923076923077,0.5248066848610327,0.6671727262002625,descriptive_opened_development_suite_only
37,eegsym_wide,0.8620833333333334,0.5143518518518518,0.7829563492063492,0.6064198717948718,0.51416363427233,0.6559950080917473,descriptive_opened_development_suite_only
38,free_scope,0.7741666666666667,0.5520061728395061,0.7384623015873015,0.5978621794871796,0.5429078134694076,0.6410810268100123,descriptive_opened_development_suite_only
