level,dataset,model,nll,multiclass_brier,ece,ece_bins
dataset,local_exp4,ctnet,0.2665622263908701,0.17199717597223826,0.07212933972477914,15
dataset,local_exp4,ctnet_compact,0.3356389259160279,0.2221680422833172,0.08095872762302557,15
dataset,local_exp4,eegsym,0.5595364139778882,0.39526164163398614,0.07061878355840842,15
dataset,local_exp4,eegsym_wide,0.2817973609546508,0.17989428889373546,0.06596946790814401,15
dataset,local_exp4,tcformer,0.19978555568275486,0.12189204335589343,0.05696687777837117,15
dataset,bnci2014_001,scope,1.3957972477134841,0.7231114068443327,0.19831093751399972,15
dataset,bnci2014_001,free_scope,1.0915222482978688,0.5836072661441566,0.1441527928352172,15
dataset,bnci2014_001,cardinal,0.7571054373065663,0.41103325350694403,0.08692059809411014,15
dataset,bnci2014_001,free_cardinal,0.7604248049956316,0.41283346888643146,0.08831435113133473,15
dataset,bnci2014_001,cardinal_dynamics,0.7510373900349081,0.40793528570143583,0.08226876859035757,15
dataset,bnci2014_001,cardinal_dynamics_compact,0.7483957589495958,0.40678877296596594,0.07309029516706496,15
dataset,bnci2014_001,cardinal_dynamics_extended,0.7374011056426383,0.39988697727749356,0.07692532301822931,15
dataset,bnci2014_001,cardinal_dynamics_sinc,0.7302959368472898,0.3968987022777395,0.07280159721863858,15
dataset,bnci2014_001,cardinal_dynamics_sinc_residual,0.7206215965036997,0.3932317534284791,0.07381899117917558,15
dataset,bnci2014_001,cardinal_dynamics_sinc_extended,0.7229458713096835,0.3931557581784224,0.07457586956428892,15
dataset,bnci2014_001,eegnet,1.0366362019464364,0.5630458875141716,0.0678646420278115,15
dataset,bnci2014_001,shallow,0.8720166573942402,0.46957278175492323,0.09553118797226084,15
dataset,bnci2014_001,deep4,1.3543725597595393,0.7347836189210845,0.08668386372105208,15
dataset,bnci2014_001,eegconformer,1.073087475018964,0.5344453239988747,0.16806600146271566,15
dataset,bnci2014_001,eegconformer_compact,1.0264033576827964,0.5124748483430062,0.1550916914931602,15
dataset,bnci2014_001,atcnet,0.8634936556680264,0.4747875492655742,0.08772148023370976,15
dataset,bnci2014_001,atcnet_aggressive_pool,0.8866005097103196,0.48622860024327846,0.0915021936742612,15
dataset,bnci2014_001,fbcnet,0.6595169485705117,0.3560924729215482,0.08983775812120717,15
dataset,bnci2014_001,cardinal_fbc,0.6552969311893981,0.3528669362693206,0.09661770471728141,15
dataset,bnci2014_001,cardinal_fbc_extended,0.6594325556927306,0.35543661526054543,0.09269645440357704,15
dataset,bnci2014_001,cardinal_fbc_corr,0.6558582720714001,0.3535478304645456,0.09116949929315367,15
dataset,bnci2014_001,cardinal_fbc_corr_extended,0.656730590429674,0.35428079457335215,0.09129977417810832,15
dataset,bnci2014_001,cardinal_fbc_compactdyn,0.6360758201911205,0.342852841446971,0.08513071340405279,15
dataset,bnci2014_001,cardinal_fbc_compactdyn_extended,0.6357502313434409,0.34244840311220626,0.08623857063551743,15
dataset,bnci2014_001,cardinal_fbc_compactdyn_scale010,0.6522276596376353,0.3511675332933023,0.0931983376726692,15
dataset,bnci2014_001,cardinal_fbc_compactdyn_scale010_extended,0.656984002875075,0.3543476203763519,0.09156431716257407,15
dataset,bnci2014_001,cardinal_fbc_compactdyn_scale025,0.6441219215858579,0.34637384579071295,0.0930114257344861,15
dataset,bnci2014_001,cardinal_fbc_compactdyn_scale025_extended,0.6447913124793303,0.34730391315530806,0.09249762812468372,15
dataset,bnci2014_001,cardinal_fbc_micro,0.6448772165021757,0.34855446164717524,0.09050273917569422,15
dataset,bnci2014_001,cardinal_fbc_micro_extended,0.6435811181448495,0.3478865760795775,0.08739925174295533,15
dataset,bnci2014_001,cardinal_fbc_physical,0.6464568088677396,0.34911431930560827,0.08950922694057224,15
dataset,bnci2014_001,cardinal_fbc_physical_extended,0.6462153298165592,0.3490706355453408,0.08768907787255299,15
dataset,bnci2014_001,eegtcnet,1.057263289103276,0.5936960535654311,0.07176870607575515,15
dataset,bnci2014_001,fbmsnet,0.667392423756678,0.36040147696049707,0.09250201657874349,15
dataset,bnci2014_001,cardinal_fbms,0.6652991457198731,0.3593720019764147,0.0926816165746178,15
dataset,bnci2014_001,cardinal_fbms_extended,0.6653316423280184,0.3593466605761988,0.09272778038119461,15
dataset,bnci2014_001,cardinal_mix,0.7237175609244303,0.3896995797695451,0.08096224660352792,15
dataset,bnci2014_001,cardinal_mix_drop,0.7039768228582203,0.3817055453972964,0.0732462060396318,15
dataset,bnci2014_001,ctnet,0.8010514827892706,0.4409607158955004,0.07019134846136527,15
dataset,bnci2014_001,ctnet_compact,0.8928117711514307,0.49993516815726696,0.06981451939331529,15
dataset,bnci2014_001,eegsym,1.2444030732925881,0.6796085716819535,0.09047002390165021,15
dataset,bnci2014_001,eegsym_wide,1.107955470518388,0.5882491306696415,0.13193874033972805,15
dataset,bnci2014_001,tcformer,0.6933632090613293,0.37122305735575695,0.08007523543718788,15
dataset,bnci2014_004,scope,0.5768027318686728,0.3629186143711963,0.13092332219557157,15
dataset,bnci2014_004,free_scope,0.6023296570617764,0.3742491267146699,0.13948131218729984,15
dataset,bnci2014_004,cardinal,0.5539972024195855,0.35731177623878696,0.12832069794336956,15
dataset,bnci2014_004,free_cardinal,0.5110831410268476,0.33234234967024273,0.10736016058732593,15
dataset,bnci2014_004,cardinal_dynamics,0.4253742356103446,0.2780213647930627,0.06307113507614721,15
dataset,bnci2014_004,cardinal_dynamics_compact,0.4188951140403343,0.27298318438830177,0.06032340223354006,15
dataset,bnci2014_004,cardinal_dynamics_extended,0.4279331106314508,0.27725678093959993,0.06428058735967156,15
dataset,bnci2014_004,cardinal_dynamics_sinc,0.40581410712731025,0.2662187134100058,0.05784111034598142,15
dataset,bnci2014_004,cardinal_dynamics_sinc_residual,0.40531219687340475,0.2658374050421819,0.05431908051764209,15
dataset,bnci2014_004,cardinal_dynamics_sinc_extended,0.40584626919322303,0.2668163477950802,0.056920755341175994,15
dataset,bnci2014_004,eegnet,0.4554714531617625,0.30601339641300757,0.0368837968336921,15
dataset,bnci2014_004,shallow,0.4672992137365053,0.3041324966322366,0.08626395170000338,15
dataset,bnci2014_004,deep4,0.5175149475271841,0.3583338892422704,0.10246910159904804,15
dataset,bnci2014_004,eegconformer,0.43635932472243627,0.2814448237489939,0.07011869506407824,15
dataset,bnci2014_004,eegconformer_compact,0.46328061005910626,0.29690786798118424,0.07901804470590183,15
dataset,bnci2014_004,atcnet,0.4098042239222507,0.2710871043865823,0.05894218471847357,15
dataset,bnci2014_004,atcnet_aggressive_pool,0.4224691662297048,0.2721610172818941,0.06306963648587939,15
dataset,bnci2014_004,fbcnet,0.4675906615838045,0.3073731742240729,0.08581552232896525,15
dataset,bnci2014_004,cardinal_fbc,0.4395485657379632,0.2938919721309404,0.07784769133502055,15
dataset,bnci2014_004,cardinal_fbc_extended,0.46292145248457195,0.30769679678118467,0.08769687114194745,15
dataset,bnci2014_004,cardinal_fbc_corr,0.5013143852422204,0.32589343032479146,0.10502536056533693,15
dataset,bnci2014_004,cardinal_fbc_corr_extended,0.48911251531140487,0.322304522848668,0.09729652074594347,15
dataset,bnci2014_004,cardinal_fbc_compactdyn,0.4898062534448655,0.30626107837034744,0.09795095891588262,15
dataset,bnci2014_004,cardinal_fbc_compactdyn_extended,0.5090513758840944,0.31908035006454005,0.10663567503175092,15
dataset,bnci2014_004,cardinal_fbc_compactdyn_scale010,0.4541015634072699,0.3035438353641439,0.09125808555987619,15
dataset,bnci2014_004,cardinal_fbc_compactdyn_scale010_extended,0.4411866191796175,0.29365015277122075,0.08481222222603502,15
dataset,bnci2014_004,cardinal_fbc_compactdyn_scale025,0.48320290008442535,0.31426677159564254,0.10289914695752991,15
dataset,bnci2014_004,cardinal_fbc_compactdyn_scale025_extended,0.45234689185558924,0.2992732759886632,0.09483874647922459,15
dataset,bnci2014_004,cardinal_fbc_micro,0.47633201358026256,0.3046658723337057,0.08743015154368347,15
dataset,bnci2014_004,cardinal_fbc_micro_extended,0.4993006637500195,0.32360784003239157,0.10540835377006304,15
dataset,bnci2014_004,cardinal_fbc_physical,0.4811181215000882,0.30714137161360844,0.09450326792895795,15
dataset,bnci2014_004,cardinal_fbc_physical_extended,0.4874193130441546,0.31332186014425667,0.10537199950525686,15
dataset,bnci2014_004,eegtcnet,0.4620608284298793,0.3136988302409901,0.055691759016897,15
dataset,bnci2014_004,fbmsnet,0.4875991356977434,0.29983535517147747,0.07699153690998044,15
dataset,bnci2014_004,cardinal_fbms,0.48821875369394896,0.3004903252617883,0.07821883794511594,15
dataset,bnci2014_004,cardinal_fbms_extended,0.48266407631737146,0.2963095930787747,0.07742399002233195,15
dataset,bnci2014_004,cardinal_mix,0.49172391355475814,0.31190641320927764,0.09423845204687308,15
dataset,bnci2014_004,cardinal_mix_drop,0.46981741035748975,0.3064759800912229,0.0929170198815446,15
dataset,bnci2014_004,ctnet,0.4131042024357705,0.2704035239206026,0.059707211766332854,15
dataset,bnci2014_004,ctnet_compact,0.41670026763304757,0.2749058529589913,0.0584543584263514,15
dataset,bnci2014_004,eegsym,0.5764265999886544,0.4065757445068731,0.05401067134229436,15
dataset,bnci2014_004,eegsym_wide,0.3973699237328055,0.2617711434572715,0.05317584750671235,15
dataset,bnci2014_004,tcformer,0.41560813071189723,0.27120645847952635,0.052674677473093776,15
dataset,cho2017,scope,0.847766925494207,0.5736503606796693,0.21126429400000818,15
