dataset,model,subject,seeds_averaged,test_trials_per_seed,accuracy,accuracy_defined_count,balanced_accuracy,balanced_accuracy_defined_count,chance_normalized_balanced_accuracy,chance_normalized_balanced_accuracy_defined_count,macro_f1,macro_f1_defined_count,cohen_kappa,cohen_kappa_defined_count,ovr_macro_auroc,ovr_macro_auroc_defined_count,nll,nll_defined_count,multiclass_brier,multiclass_brier_defined_count,ece,ece_defined_count
bnci2014_004,cardinal_dynamics_sinc_extended,7,5,320,0.8218750000000001,5,0.821875,5,0.64375,5,0.8210081706238238,5,0.64375,5,0.9080390625,5,0.41177715520743446,5,0.2563694961482808,5,0.051401876471936704,5
bnci2014_004,cardinal_dynamics_sinc_extended,8,5,320,0.9125,5,0.9125,5,0.825,5,0.9124480891599808,5,0.825,5,0.975421875,5,0.209963387721232,5,0.12771885767379437,5,0.03847887020558118,5
bnci2014_004,cardinal_dynamics_sinc_extended,9,5,320,0.8637499999999999,5,0.8637499999999999,5,0.7275,5,0.8632185476446242,5,0.7275,5,0.9475312499999999,5,0.3193222669943097,5,0.19898675098252686,5,0.041231238208711135,5
bnci2014_004,eegnet,1,5,320,0.6824999999999999,5,0.6824999999999999,5,0.3650000000000001,5,0.6446894509207617,5,0.36499999999999994,5,0.7809492187500001,5,0.6147342751670009,5,0.39899256984333,5,0.07191507585346699,5
bnci2014_004,eegnet,2,5,280,0.49142857142857144,5,0.49142857142857144,5,-0.01714285714285717,5,0.4016346743770877,5,-0.017142857142857126,5,0.5253622448979591,5,0.6930060336672286,5,0.4998588570008559,5,0.01121623958860125,5
bnci2014_004,eegnet,3,5,320,0.499375,5,0.499375,5,-0.0012500000000000178,5,0.406294403368901,5,-0.0012499999999999955,5,0.497265625,5,0.6931682807623403,5,0.5000210973382068,5,0.007234081886708754,5
bnci2014_004,eegnet,4,5,320,0.969375,5,0.969375,5,0.93875,5,0.9693681068025424,5,0.93875,5,0.9955234374999999,5,0.10032170938776001,5,0.05337121526509533,5,0.036913299001753316,5
bnci2014_004,eegnet,5,5,320,0.7387499999999999,5,0.7387499999999999,5,0.47750000000000004,5,0.7002902250939023,5,0.4774999999999999,5,0.79205859375,5,0.43391249049401426,5,0.28966458836520637,5,0.034303022474050524,5
bnci2014_004,eegnet,6,5,320,0.775625,5,0.775625,5,0.5512499999999999,5,0.7415609821683563,5,0.5512499999999999,5,0.8459218749999999,5,0.441863194070642,5,0.2905151247092473,5,0.04666988302022219,5
bnci2014_004,eegnet,7,5,320,0.7456250000000001,5,0.7456250000000001,5,0.49124999999999996,5,0.7112435590383185,5,0.49124999999999996,5,0.8272578124999999,5,0.4768544366127793,5,0.30047705558870547,5,0.050529799461364766,5
