model,comparator,seed,dataset,subjects,balanced_accuracy_difference
cardinal_dynamics,tcformer,27,bnci2014_004,9,9.920634920634885e-05
cardinal_dynamics,tcformer,27,cho2017,52,0.002564102564102553
cardinal_dynamics,tcformer,27,physionet_mi,54,0.017076170608779313
cardinal_dynamics,tcformer,27,EQUAL_DATASET_OVERALL,132,-0.008027412737557665
cardinal_dynamics,tcformer,37,local_exp4,8,0.008333333333333331
cardinal_dynamics,tcformer,37,bnci2014_001,9,-0.023148148148148154
cardinal_dynamics,tcformer,37,bnci2014_004,9,0.0035714285714285587
cardinal_dynamics,tcformer,37,cho2017,52,0.017916666666666657
cardinal_dynamics,tcformer,37,physionet_mi,54,0.05293096597444425
cardinal_dynamics,tcformer,37,EQUAL_DATASET_OVERALL,132,0.01192084927954493
cardinal_dynamics,tcformer,47,local_exp4,8,1.3877787807814457e-17
cardinal_dynamics,tcformer,47,bnci2014_001,9,-0.038194444444444434
cardinal_dynamics,tcformer,47,bnci2014_004,9,0.0017857142857142794
cardinal_dynamics,tcformer,47,cho2017,52,0.011714743589743604
cardinal_dynamics,tcformer,47,physionet_mi,54,0.038173531380053125
cardinal_dynamics,tcformer,47,EQUAL_DATASET_OVERALL,132,0.0026959089622133176
cardinal_dynamics_compact,tcformer,7,local_exp4,8,-0.03541666666666668
cardinal_dynamics_compact,tcformer,7,bnci2014_001,9,0.01388888888888892
cardinal_dynamics_compact,tcformer,7,bnci2014_004,9,0.01319444444444446
cardinal_dynamics_compact,tcformer,7,cho2017,52,0.015208333333333332
cardinal_dynamics_compact,tcformer,7,physionet_mi,54,0.048123575297488334
cardinal_dynamics_compact,tcformer,7,EQUAL_DATASET_OVERALL,132,0.010999715059497674
cardinal_dynamics_compact,tcformer,17,local_exp4,8,-0.03750000000000002
cardinal_dynamics_compact,tcformer,17,bnci2014_001,9,-0.03356481481481481
cardinal_dynamics_compact,tcformer,17,bnci2014_004,9,-0.0012896825396825475
cardinal_dynamics_compact,tcformer,17,cho2017,52,0.01448717948717948
cardinal_dynamics_compact,tcformer,17,physionet_mi,54,0.030484494705509204
cardinal_dynamics_compact,tcformer,17,EQUAL_DATASET_OVERALL,132,-0.005476564632361739
cardinal_dynamics_compact,tcformer,27,local_exp4,8,-0.037500000000000006
cardinal_dynamics_compact,tcformer,27,bnci2014_001,9,-0.03163580246913578
cardinal_dynamics_compact,tcformer,27,bnci2014_004,9,0.0020337301587301636
cardinal_dynamics_compact,tcformer,27,cho2017,52,-0.004407051282051295
cardinal_dynamics_compact,tcformer,27,physionet_mi,54,0.014712122954876585
cardinal_dynamics_compact,tcformer,27,EQUAL_DATASET_OVERALL,132,-0.011359400127516064
cardinal_dynamics_compact,tcformer,37,local_exp4,8,0.002083333333333312
cardinal_dynamics_compact,tcformer,37,bnci2014_001,9,-0.02739197530864194
cardinal_dynamics_compact,tcformer,37,bnci2014_004,9,0.013591269841269817
cardinal_dynamics_compact,tcformer,37,cho2017,52,0.0047115384615384615
cardinal_dynamics_compact,tcformer,37,physionet_mi,54,0.02736692320025653
cardinal_dynamics_compact,tcformer,37,EQUAL_DATASET_OVERALL,132,0.004072217905551236
cardinal_dynamics_compact,tcformer,47,local_exp4,8,-0.006249999999999992
cardinal_dynamics_compact,tcformer,47,bnci2014_001,9,-0.0486111111111111
cardinal_dynamics_compact,tcformer,47,bnci2014_004,9,0.013095238095238092
cardinal_dynamics_compact,tcformer,47,cho2017,52,0.010673076923076936
cardinal_dynamics_compact,tcformer,47,physionet_mi,54,0.04034326181065311
cardinal_dynamics_compact,tcformer,47,EQUAL_DATASET_OVERALL,132,0.00185009314357141
cardinal_dynamics_extended,tcformer,7,local_exp4,8,-0.020833333333333343
cardinal_dynamics_extended,tcformer,7,bnci2014_001,9,0.022376543209876556
cardinal_dynamics_extended,tcformer,7,bnci2014_004,9,0.005307539682539695
cardinal_dynamics_extended,tcformer,7,cho2017,52,0.0070993589743589625
cardinal_dynamics_extended,tcformer,7,physionet_mi,54,0.045590916061930546
