level,dataset,model,prediction_count_including_seeds,accuracy,balanced_accuracy,chance_normalized_balanced_accuracy,macro_f1,cohen_kappa,ovr_macro_auroc,nll,multiclass_brier,ece
dataset,bnci2014_001,cardinal_fbms,12960,0.7441358024691358,0.7441358024691358,0.6588477366255144,0.7439082416432599,0.6588477366255143,0.9286330843875426,0.665299145719873,0.35937200197641467,0.06246043415855108
dataset,bnci2014_001,cardinal_fbms_extended,12960,0.7439043209876544,0.7439043209876544,0.6585390946502058,0.7436756849518621,0.6585390946502058,0.9286304766486307,0.6653316423280184,0.35934666057619885,0.06281331482078928
dataset,bnci2014_001,cardinal_mix,12960,0.7197530864197531,0.7197530864197531,0.6263374485596708,0.7195966830690117,0.6263374485596708,0.9112136821749733,0.7237175609244304,0.3896995797695451,0.02486001247379147
dataset,bnci2014_001,cardinal_mix_drop,12960,0.7209104938271605,0.7209104938271604,0.6278806584362139,0.7204476728622371,0.627880658436214,0.9158996262637809,0.7039768228582204,0.3817055453972964,0.013211354323559367
dataset,bnci2014_001,ctnet,12960,0.6600308641975309,0.6600308641975309,0.5467078189300412,0.6597567658936695,0.5467078189300412,0.8895894101191383,0.8010514827892707,0.4409607158955004,0.023281648127293126
dataset,bnci2014_001,ctnet_compact,12960,0.5869598765432099,0.5869598765432099,0.44927983539094657,0.5854373379140176,0.4492798353909465,0.8570070936849058,0.8928117711514308,0.499935168157267,0.02170098187792817
dataset,bnci2014_001,eegsym,12960,0.383179012345679,0.38317901234567897,0.17757201646090529,0.3737222266295352,0.17757201646090537,0.6875930966760656,1.2444030732925881,0.6796085716819537,0.05588663859913748
dataset,bnci2014_001,eegsym_wide,12960,0.5143518518518518,0.5143518518518517,0.35246913580246897,0.5118597071556554,0.3524691358024692,0.8027425236879542,1.107955470518388,0.5882491306696415,0.11839814711316138
dataset,bnci2014_001,tcformer,12960,0.7238425925925925,0.7238425925925926,0.6317901234567902,0.7237268999616233,0.6317901234567902,0.9200703494131992,0.6933632090613291,0.37122305735575695,0.031306956954484384
dataset,bnci2014_004,scope,14200,0.7464084507042253,0.7464084507042253,0.4928169014084507,0.7462407901669807,0.4928169014084507,0.8430012745487007,0.5712192206314265,0.35860370335227737,0.11692988399048931
dataset,bnci2014_004,free_scope,14200,0.7414084507042253,0.7414084507042253,0.4828169014084507,0.740649816690536,0.4828169014084507,0.8385228228526086,0.597163571102286,0.370228300359689,0.12543228699287903
dataset,bnci2014_004,cardinal,14200,0.7493661971830986,0.7493661971830986,0.4987323943661972,0.7493421793307222,0.4987323943661972,0.8419875223170006,0.5496746322205126,0.35368812832070545,0.10420539701908407
