dataset,model,subject,seed,folds_concatenated,test_trials,accuracy,balanced_accuracy,chance_normalized_balanced_accuracy,macro_f1,cohen_kappa,ovr_macro_auroc,nll,multiclass_brier,ece
local_exp4,cardinal,3,17,1,60,0.8666666666666667,0.8666666666666667,0.7333333333333334,0.8665183537263625,0.7333333333333334,0.97,0.2465021982582784,0.15201272977833494,0.11140957673390708
local_exp4,cardinal,3,27,1,60,0.9,0.9,0.8,0.899888765294772,0.8,0.96,0.257755832241026,0.16044748133584244,0.10297643740971883
local_exp4,cardinal,3,37,1,60,0.9,0.9,0.8,0.9,0.8,0.9644444444444444,0.2547749614878598,0.15596984051320018,0.05996366639931996
local_exp4,cardinal,3,47,1,60,0.85,0.8500000000000001,0.7000000000000002,0.848951048951049,0.7,0.9677777777777778,0.24379236530660636,0.1524939878431643,0.12718430459499358
local_exp4,cardinal,4,7,1,60,0.9,0.9,0.8,0.899888765294772,0.8,0.9544444444444444,0.2834738025192381,0.1755154505269901,0.08729693293571475
local_exp4,cardinal,4,17,1,60,0.8833333333333333,0.8833333333333333,0.7666666666666666,0.883300916921367,0.7666666666666666,0.9488888888888889,0.3003392164454105,0.18591372359563466,0.06941974063714346
local_exp4,cardinal,4,27,1,60,0.8333333333333334,0.8333333333333333,0.6666666666666665,0.8316498316498316,0.6666666666666667,0.9377777777777778,0.31537035508068956,0.19835656784416927,0.10764848987261455
local_exp4,cardinal,4,37,1,60,0.9,0.9,0.8,0.8995535714285714,0.8,0.9533333333333334,0.3113948733493849,0.18439366797040127,0.09388655126094816
local_exp4,cardinal,4,47,1,60,0.8833333333333333,0.8833333333333333,0.7666666666666666,0.883300916921367,0.7666666666666666,0.9611111111111111,0.28950252467804777,0.17453692754506328,0.10422281424204509
local_exp4,cardinal,5,7,1,60,0.95,0.95,0.8999999999999999,0.949874686716792,0.9,0.9988888888888889,0.13707625073190957,0.07434365937146083,0.08941313326358792
local_exp4,cardinal,5,17,1,60,0.9333333333333333,0.9333333333333333,0.8666666666666667,0.9330357142857143,0.8666666666666667,0.9933333333333334,0.18811902663780966,0.11003735219247854,0.0718067953983943
local_exp4,cardinal,5,27,1,60,0.9333333333333333,0.9333333333333333,0.8666666666666667,0.9330357142857143,0.8666666666666667,1.0,0.15015116873823428,0.0809811523015264,0.07644603153069815
local_exp4,cardinal,5,37,1,60,0.9833333333333333,0.9833333333333334,0.9666666666666668,0.9833287024173382,0.9666666666666667,0.9988888888888889,0.1331832984892283,0.06617158734245696,0.0856898675362269
local_exp4,cardinal,5,47,1,60,0.95,0.95,0.8999999999999999,0.9499861072520144,0.9,0.9977777777777778,0.12320325703498565,0.05782013346481858,0.10288569927215575
