dataset,model,subjects_averaged,aggregation,accuracy,accuracy_defined_count,balanced_accuracy,balanced_accuracy_defined_count,chance_normalized_balanced_accuracy,chance_normalized_balanced_accuracy_defined_count,macro_f1,macro_f1_defined_count,cohen_kappa,cohen_kappa_defined_count,ovr_macro_auroc,ovr_macro_auroc_defined_count,nll,nll_defined_count,multiclass_brier,multiclass_brier_defined_count,ece,ece_defined_count
bnci2014_001,cardinal_mix_drop,9,mean_seeds_within_subject_then_mean_subjects,0.7209104938271604,9,0.7209104938271603,9,0.627880658436214,9,0.7130019155838009,9,0.6278806584362139,9,0.9069530178326475,9,0.7039768228582203,9,0.3817055453972964,9,0.0732462060396318,9
bnci2014_001,ctnet,9,mean_seeds_within_subject_then_mean_subjects,0.6600308641975309,9,0.6600308641975308,9,0.5467078189300412,9,0.6493926335080801,9,0.5467078189300412,9,0.8738236596936443,9,0.8010514827892706,9,0.4409607158955004,9,0.07019134846136527,9
bnci2014_001,ctnet_compact,9,mean_seeds_within_subject_then_mean_subjects,0.5869598765432098,9,0.5869598765432098,9,0.4492798353909465,9,0.5682639806072614,9,0.4492798353909465,9,0.8315865054869684,9,0.8928117711514307,9,0.49993516815726696,9,0.06981451939331529,9
bnci2014_001,eegsym,9,mean_seeds_within_subject_then_mean_subjects,0.383179012345679,9,0.383179012345679,9,0.17757201646090534,9,0.2874324815164837,9,0.17757201646090534,9,0.693235596707819,9,1.2444030732925881,9,0.6796085716819535,9,0.09047002390165021,9
bnci2014_001,eegsym_wide,9,mean_seeds_within_subject_then_mean_subjects,0.5143518518518518,9,0.5143518518518518,9,0.3524691358024692,9,0.4630516094095095,9,0.35246913580246914,9,0.7854359567901235,9,1.107955470518388,9,0.5882491306696415,9,0.13193874033972805,9
bnci2014_001,tcformer,9,mean_seeds_within_subject_then_mean_subjects,0.7238425925925925,9,0.7238425925925925,9,0.6317901234567902,9,0.7098087779569352,9,0.6317901234567902,9,0.9041577360539552,9,0.6933632090613293,9,0.37122305735575695,9,0.08007523543718788,9
bnci2014_004,scope,9,mean_seeds_within_subject_then_mean_subjects,0.743125,9,0.743125,9,0.48625000000000007,9,0.7171018272999166,9,0.48624999999999996,9,0.8165001948696146,9,0.5768027318686728,9,0.3629186143711963,9,0.13092332219557157,9
bnci2014_004,free_scope,9,mean_seeds_within_subject_then_mean_subjects,0.7384623015873015,9,0.7384623015873015,9,0.47692460317460317,9,0.7095092888898609,9,0.47692460317460317,9,0.8239254357993198,9,0.6023296570617764,9,0.3742491267146699,9,0.13948131218729984,9
bnci2014_004,cardinal,9,mean_seeds_within_subject_then_mean_subjects,0.7461904761904763,9,0.7461904761904762,9,0.4923809523809523,9,0.7139070599112256,9,0.49238095238095236,9,0.8501421485260771,9,0.5539972024195855,9,0.35731177623878696,9,0.12832069794336956,9
bnci2014_004,free_cardinal,9,mean_seeds_within_subject_then_mean_subjects,0.7604365079365079,9,0.760436507936508,9,0.5208730158730159,9,0.7374485293744961,9,0.5208730158730159,9,0.8524195188492064,9,0.5110831410268476,9,0.33234234967024273,9,0.10736016058732593,9
bnci2014_004,cardinal_dynamics,9,mean_seeds_within_subject_then_mean_subjects,0.7820039682539682,9,0.7820039682539682,9,0.5640079365079366,9,0.7729192235177496,9,0.5640079365079366,9,0.8503229520975056,9,0.4253742356103446,9,0.2780213647930627,9,0.06307113507614721,9
bnci2014_004,cardinal_dynamics_compact,9,mean_seeds_within_subject_then_mean_subjects,0.788125,9,0.788125,9,0.5762499999999999,9,0.7807182210940636,9,0.5762499999999999,9,0.8517147285997733,9,0.4188951140403343,9,0.27298318438830177,9,0.06032340223354006,9
bnci2014_004,cardinal_dynamics_extended,9,mean_seeds_within_subject_then_mean_subjects,0.7813492063492063,9,0.7813492063492063,9,0.5626984126984128,9,0.7771832211331997,9,0.5626984126984127,9,0.8527476615646258,9,0.4279331106314508,9,0.27725678093959993,9,0.06428058735967156,9
bnci2014_004,cardinal_dynamics_sinc,9,mean_seeds_within_subject_then_mean_subjects,0.787986111111111,9,0.7879861111111112,9,0.5759722222222222,9,0.7831973301597622,9,0.5759722222222222,9,0.8520022498582767,9,0.40581410712731025,9,0.2662187134100058,9,0.05784111034598142,9
bnci2014_004,cardinal_dynamics_sinc_residual,9,mean_seeds_within_subject_then_mean_subjects,0.7892063492063492,9,0.7892063492063492,9,0.5784126984126985,9,0.7860772842126098,9,0.5784126984126984,9,0.8563585955215419,9,0.40531219687340475,9,0.2658374050421819,9,0.05431908051764209,9
bnci2014_004,cardinal_dynamics_sinc_extended,9,mean_seeds_within_subject_then_mean_subjects,0.789623015873016,9,0.789623015873016,9,0.5792460317460317,9,0.7845635232555339,9,0.5792460317460317,9,0.8516437783446711,9,0.40584626919322303,9,0.2668163477950802,9,0.056920755341175994,9
bnci2014_004,eegnet,9,mean_seeds_within_subject_then_mean_subjects,0.7278670634920634,9,0.7278670634920634,9,0.45573412698412696,9,0.6840961947980827,9,0.45573412698412696,9,0.7821476713081066,9,0.4554714531617625,9,0.30601339641300757,9,0.0368837968336921,9
bnci2014_004,shallow,9,mean_seeds_within_subject_then_mean_subjects,0.7738888888888888,9,0.7738888888888887,9,0.5477777777777777,9,0.7664169410759986,9,0.5477777777777777,9,0.8437283340419501,9,0.4672992137365053,9,0.3041324966322366,9,0.08626395170000338,9
bnci2014_004,deep4,9,mean_seeds_within_subject_then_mean_subjects,0.7003472222222222,9,0.7003472222222222,9,0.4006944444444444,9,0.6437728201921131,9,0.4006944444444444,9,0.7826783234126986,9,0.5175149475271841,9,0.3583338892422704,9,0.10246910159904804,9
